A-Scale	An airline’s maximum contractual pay scale.	https://airlinecareer.com/tests/flight-attendant-dictionary/#PSR
Aborted Takeoff	A sudden, unexpected stop of an aircraft (on the runway) following the takeoff roll, due to a mechanical or other type of problem.	https://airlinecareer.com/tests/flight-attendant-dictionary/#PSR
Absolute altitude	The vertical distance of the aircraft above the ground.	https://www.aircharterservice.com/about-us/news-features/blog/an-a-z-of-aviation-definitions
Adverse yaw	When the nose of an aircraft turns away from the direction of turn.	https://www.aircharterservice.com/about-us/news-features/blog/an-a-z-of-aviation-definitions
Aeronautical Information Manual	A publication by the Federal Aviation Administration (FAA) that instructs pilots how to operate correctly in the US National Airspace System. There are separate guides for the USA and Canada. The AIM is the official guide to flight information, Air Traffic Control (ATC) procedures and aviation safety.	https://www.aircharterservice.com/about-us/news-features/blog/an-a-z-of-aviation-definitions
Aerophobia	Fear of flying.	https://airlinecareer.com/tests/flight-attendant-dictionary/#PSR
Aft	The rear of the aircraft	https://www.cram.com/flashcards/cabin-crew-terminology-3310309
Agent	The person responsible for passengers from the time they check-in (at the gate) until the aircraft’s cabin door is closed. Duties include passenger check-in, baggage checking, and assistance with passengers in wheelchairs. Also responsible for confirming that fuel quantity and passenger count is correct before entry door is closed.	https://airlinecareer.com/tests/flight-attendant-dictionary/#PSR
Aileron	A control surface located on the trailing edge of each wing tip. Deflection of these surfaces controls the roll or bank angle of the aircraft.	https://www.avjobs.com/history/airline-glossary.asp
Air Bridge	Retractable boarding system.	https://www.cram.com/flashcards/cabin-crew-terminology-3310309
Air Rage	A phenomenon whereby passengers vent their frustrations (sometimes violently) on crewmembers during a flight due to perceived inadequacies in airline service.	https://airlinecareer.com/tests/flight-attendant-dictionary/#PSR
Air Route Traffic Control Center	it houses the air traffic controllers and equipment needed to identify and direct aircraft, primarily during the en route portion of their flights.	https://www.avjobs.com/history/airline-glossary.asp
Air Traffic Control	A service operated by the authorities to ensure the safety of air traffic. Air traffic controllers in a ground-based ATC facility direct aircraft in their area during take-off, landing and while flying in the airspace.	https://www.aircharterservice.com/about-us/news-features/blog/an-a-z-of-aviation-definitions
