AAE	above aerodrome elevation 
AAIB 	Air Accidents Investigation Branch 
AAO	assumed adverse obstacle 
AAS 	airport advisory service 
A/C	aircraft 
AC 	advisory circular 
ACAM	aircraft continuous airworthiness monitoring 
ACARS	Aircraft Communication and Addressing Reporting System 
ACAS	airborne collision avoidance system 
ACC 	area control centre 
ACC	active clearance control 
ACC 	Accessory 
ACFT	aircraft 
ACI	Airports Council International 
ACM 	air cycle machine 
ACMS	aircraft condition monitoring system 
ACP 	Audio Control Panel 
ACS 	Airman Certification Standards 
ACU	air condition unit 
ACU 	alternator control unit 
AD	airworthiness directive 
A/D	aerodrome 
ADA	advisory area 
ADAHRS	air data attitude heading reference system 
ADC	air data computer 
ADD	acceptable deferred defect 
ADF	automatic direction finder 
ADI	Attitude Director Indicator 
ADIRU 	Air Data Inertial Reference Unit 
ADIRS	Air Data Inertial Reference System 
ADIZ	Air Defense Identification Zone 
ADJ 	Adjustment 
ADM	aeronautical decision-making 
ADM	air data module 
ADS	automatic dependent surveillance 
ADV	Arbeitsgemeinschaft Deutscher Verkehrsflughäfen German Airports Association 
AEA	Association of European Airlines 
AFCS	automatic flight control system 
A/FD	Airport/Facility Directory 
AFDS	autopilot flight director system 
AFE	above field elevation 
AFM	aircraft flight manual 
AFS	aeronautical fixed service 
AFT	Aft The direction against the aircraft movement 
AFTN	Aeronautical Fixed Telecommunication Network 
AGB 	accessory gear box 
AGL	above ground level 
AHRS	Attitude and heading reference system 
AIM	Aeronautical Information Manual 
AIP	Aeronautical Information Publication 
AIRAC	Aeronautical information regulation and control 
AIRMET 	Airmen's Meteorological Advisory 
ALI	Airworthiness Limitation Item 
ALS	approach lighting system 
ALT 	Altitude 
ALT 	Alternate 
ALUM 	Aluminum 
AMC	Acceptable Means of Compliance (EASA) 
AME 	Aircraft Maintenance Engineer 
AME 	Aviation Medical Examiner 
AMM	Aircraft Maintenance Manual 
AMO	Approved Maintenance Organization 
AMSL	above mean sea level 
AMP	aircraft maintenance program 
AMT	Aircraft Maintenance Technician 
ANSP	air navigation service provider 
ANSP	Authorization of Aircraft Network Security Program (FAA) 
ANPT 	Aeronautical national pipe taper 
ANSOG 	Airport Network Security Operator Guidance (Boeing) 
A/O 	Air oil 
AOA	angle of attack 
AOC	air operator's certificate 
AOG	aircraft on ground 
AOM	aircraft operations manual / airport/aerodrome operating minima 
AP	autopilot 
A/P	"airplane (US), aeroplane (ICAO) "
APP 	Appendix 
APPL 	Application 
APPROX 	Approximately 
APT	airport 
APU	auxiliary power unit 
APV 	approach procedure with vertical guidance 
AR	airworthiness review 
AR	authorization required 
AR 	As required 
ARC 	airworthiness review certificate 
ARINC	Aeronautical Radio Inc. 
ARO	airport reservation office 
ARP	aerodrome reference point 
ARTCC	air route traffic control centers 
ASAS	Airborne Separation Assurance System 
ASDA	Accelerate Stop Distance Available 
ASI	airspeed indicator 
ASL	above sea level 
ASLO	Aircraft Security Logging Overview 
ASM	airspace management 
ASM 	available seat miles 
assy 	assembly 
A/S 	Anti-Skid 
A/T	autothrottle 
A/THR	Autothrust 
ATA	Air Transport Association 
ATC	air traffic control 
ATD 	actual time of departure 
ATF	aerodrome traffic frequency 
ATFM	air traffic flow management 
ATIS	Automatic Terminal Information Service 
ATM	Air traffic management 
ATN	Aeronautical Telecommunication Network 
ATO	Approved Training Organisation 
ATPL	Airline Transport Pilot Licence 
ATQP	Alternative Training and Qualification Programme 
ATS	air traffic service 
AVAIL	available 
AWBS 	Aviation weather briefing service 
AWG 	American Wire Gage 
AWIS 	Aviation weather information service 
AWOS 	Automated weather observation system 
AWWS 	Aviation weather web site[5] 
BC	back course 
BCAA	Belgian Civil Aviation Authority 
BDC 	bottom dead centre 
BFL 	balanced field length 
BHP 	brake horsepower 
BITE 	Built-In Test Equipment 
BL	Butt Line 
B/P	Blue Print 
BPR	bypass ratio 
BOM	bill of material 
BTV	Brake-to-Vacate System 
BWC	bird watch condition 
BVID	Barely Visible Impact Damage 
BVR	Beyond Visual Range 
C2	command and control 
CA	Captain 
CAA	Civil Aviation Authority 
CAM	cockpit area microphone 
CAME	Continuing Airworthiness Management Exposition 
CAMO	Continuing Airworthiness Management Organisation 
CAMP	Continuous Airworthiness Maintenance Program (FAA) 
CANSO	Civil Air Navigation Services Organisation 
CAP	cabin attendant panel 
CAR	civil aviation regulation 
CARs	civil aviation regulations[6][7] 
CARS 	Canadian Aviation Regulations 
CAS	calibrated airspeed 
CASS	Commercial Air Service Standards 
CASS	continuing analysis and surveillance system 
CAT 	clear air turbulence 
CAT 	Commercial Air Transport 
CAW 	continuing airworthiness (EASA) 
CBT 	computer based training 
CCRs 	closed circuit mixed gas rebreathers 
CCRs 	constant current regulators 
CDCCL	critical design configuration control limitation 
CDI	course deviation indicator 
CDL	configuration deviation list 
CDU	control/display unit 
CFIT	controlled flight into terrain 
CFG 	constant frequency generator 
CFR	Code of Federal Regulations 
CG	center of gravity 
CH 	Course Heading 
CHDO 	certificate-holding district office (FAA) 
CHT 	Cylinder Head Temperature (Piston engine aviation) 
CI	cost index 
CL 	check list 
CMC	central maintenance computer 
CMM	component maintenance manual 
CMO 	Certificate Management Office 
CMV	converted meteorological visibility 
CMPA	complex motor-powered aircraft 
CofA	Certificate of airworthiness 
COTS 	Commercial off-the-shelf 
CPDLC	controller–pilot data link communications 
CPR	Changed product rule 
CRD 	Comment-response document (EASA) 
CRES 	Corrosion resistant steel 
CS	certification specification (EASA) 
CSD	constant speed drive 
CSO	cycles since overhaul 
CSS	cabin services system 
CSU	constant speed unit 
CSCT	Configuration Item Signer Crater Tool 
CTAF	common traffic advisory frequency 
CTR	controlled traffic region/control zone 
CVR	cockpit voice recorder 
CWS	control wheel steering 
D 	Compass Deviation 
DA	density altitude 
DA/H	decision altitude/height (rel. to THR) See instrument landing system 
DAH	design approval holder (EASA) 
DBER	damaged beyond economic repair 
DER	departure end of runway 
DER	Designated Engineering Representative 
DEU 	display electronic unit 
DG	directional gyro 
DGPS 	differential GPS 
DGR	Dangerous Goods Regulation 
DIA	diameter 
DLR	German Aerospace Center / Deutsches Zentrum für Luft- und Raumfahrt e.V. 
DME	distance measuring equipment 
DME 	Designated Mechanic Examiner 
DMI	deferred maintenance item 
DO	design organization 
DOA	design organization approval 
DOM	design organization manual 
DODAR	"diagnose, options, decide, act/assign, review "
DOW	dry operational weight 
DP	Departure Procedures 
DR	dead reckoning 
DUATS	Direct User Access Terminal Service 
EA	engineering authorisation 
EADI	Electronic Attitude Direction Indicator 
EAS	equivalent airspeed 
EASA	European Aviation Safety Agency 
EAT	expected approach time 
EBOM	engineering Bill of Material 
EBU	engine build-up 
EC	engineering control (also E/C) 
ECAM	electronic centralised aircraft monitor 
ECET	end of civil evening twilight 
ECR	Engineering Change Request 
ECS	Environmental control system 
EDR	engineering data record 
EDTO	extended diversion time operations 
EEC	electronic engine control 
EET	estimated elapsed time 
EFB	electronic flight bag 
EFC	expect further clearance 
EFFRA	engine failure flap retraction altitude 
EFIS	electronic flight instrument system 
EFP	engine failure procedure 
EFS	elevator feel shift 
EFTO	engine failure on take-off 
EGPWS	enhanced ground proximity warning system 
EGT	exhaust gas temperature 
EHM	engine health monitoring 
EHSI	Electronic Horizontal Situation Indicator 
EICAS	engine-indicating and crew-alerting system 
E-LSA	experimental light-sport aircraft 
ELAC	elevator and aileron computer 
ELOS	Equivalent Level of Safety 
ELT	emergency locator transmitter 
EMAS	engineered materials arresting system 
EMDP	electric motor driven pump 
EOBT	estimated off-blocktime 
EPA	European part approval (EASA) 
EPR	engine pressure ratio 
ERM	engineering request for maintenance 
ESA	emergency safe altitude 
ETA	estimated time of arrival 
ETD	estimated time of departure 
ETE	estimated time en route 
